section	id	name	verdict	evidence
AUTH	AUTH-01	unauthenticated protected route is refused	PASS	GET /api/v1/projects -> 401 { "error": "Authentication required." }
AUTH	AUTH-02	setup is refused without the setup token	PASS	no token -> 403 { "error": "Invalid setup token.", "requestId": "aae2b620-f616-4e02-a3a0-83f8111910d3"
AUTH	AUTH-03	setup is refused with a wrong setup token	PASS	wrong token -> 403
AUTH	AUTH-04	weak password is refused by policy	PASS	weak password -> 400 { "error": "Password or passphrase must be at least 14 characters.", "requestId": "aa606e25-8ae1-4c7b-b7ec
AUTH	AUTH-05	setup with the real token returns a TOTP enrolment secret	PASS	-> 201; secret length 32; otpauth uri present true; expires 2026-07-25T12:32:07.555Z
AUTH	AUTH-06	setup confirm is refused with a wrong TOTP code	PASS	wrong code -> 403
AUTH	AUTH-07	setup confirm is refused with a wrong challenge	PASS	wrong challenge -> 403
AUTH	AUTH-08	setup confirm with the correct TOTP creates the owner and a session	PASS	-> 201; role owner; mfaEnabled true; cookies noesar_session,noesar_csrf; session cookie HttpOnly+SameSite=Strict true
AUTH	AUTH-09	the session is usable and reports the owner	PASS	-> 200 {"id":"686706ba-a2ad-4696-9df6-4825f9ff983e","username":"acceptance-owner","displayName":"Acceptance Owner","role":"owner","mfaEnabled":true,"createdAt":"2026-07-25T12:22:07.628Z"}
AUTH	AUTH-10	the setup token is single-use: a second setup attempt is refused	PASS	replayed setup -> 409 { "error": "NOESAR is already initialized.", "requestId": "4eea2a85-db18-4a39-a10a-092
AUTH	AUTH-11	auth status now reports initialized and authentication required	PASS	{"initialized":true,"pendingSetup":false,"setupTokenRequired":false,"authenticationRequired":true}
AUTH	AUTH-12	a write without the CSRF header is refused	PASS	no csrf header -> 403 { "error": "CSRF validation failed." }
AUTH	AUTH-13	a write with a forged CSRF header is refused	PASS	forged csrf -> 403
AUTH	AUTH-14	a write with the correct CSRF header succeeds	PASS	-> 201 id 203a7b63-d0bc-4848-b93d-489b2182fe30
AUTH	AUTH-15	login with a wrong password is refused	PASS	-> 401 { "error": "Invalid credentials or account temporarily locked.", "requestId"
