Requirement,Canonical document,Final ZIP
Public core independent,02_ARCHITECTURE/23; 05_OPEN_SOURCE_COMMERCIAL/55,"1,3,4"
Dual licensing/governance,05_OPEN_SOURCE_COMMERCIAL/50-54,"1,4,5"
Approved WebUI,01_PRODUCT/11,"1,4"
Dynamic privacy,01_PRODUCT/12; 03_SECURITY/30,"1,4"
CodeN path authorization,03_SECURITY/32; 04_AI_PLATFORM/47,"1,4"
Owner bypass,03_SECURITY/33,"1,4,5"
Hardware/runtime,04_AI_PLATFORM/40-42,"1,2,3,4"
ATOM private boundary,04_AI_PLATFORM/43; 02_ARCHITECTURE/23,"1,3,4"
Secure updates,03_SECURITY/35; 08_OPERATIONS/80,"2,4,5"
Database,02_ARCHITECTURE/24,"1,2,4"
Industry framework,07_INDUSTRY_MODULES/70-77,"1,3,4,5"
Compliance packs,06_COMPLIANCE/60-66,"1,4,5"
Funding,05_OPEN_SOURCE_COMMERCIAL/55-56,"1,3,4,5"
Five ZIPs,08_OPERATIONS/84-86,5
