Component,Public,Private,License/Boundary,Public core dependency
WebUI,yes,branding optional,AGPL/commercial,required
Control Plane,yes,enterprise add-ons optional,AGPL/commercial,required
Security Kernel,yes,private policy packs optional,AGPL/commercial,required
Path Authorization Broker,yes,none required,AGPL/commercial,required
Hardware Orchestrator,yes,certified packs optional,AGPL/commercial,required
Reference Reasoning Provider,yes,no,AGPL/commercial,required
ATOM Evolution,no,yes,proprietary,not required
Owner Unlocked Issuer,no,yes,proprietary,not required
SDK and schemas,yes,no,Apache-2.0,required
Official industry modules,interfaces only,yes,proprietary/commercial,not required
Customer private modules,SDK only,customer-controlled,customer license,not required
Signing private keys,no,yes,confidential,not required
