Pack,Initial scope,Status,Legal review
EU Core,"GDPR, AI Act, CRA, NIS2, DORA mapping",architecture defined,required
UK,"UK GDPR, DPA, ICO AI guidance",planned,required
US Core,"state privacy, consumer protection, sector roles",architecture defined,required
US Health,"HIPAA, FDA, 21 CFR Part 11",module-specific,required
US Finance,model risk and market rules by use,module-specific,required
Canada,PIPEDA/provincial,planned,required
Brazil,LGPD,planned,required
Japan,APPI,planned,required
Singapore,PDPA,planned,required
Australia,Privacy Act,planned,required
India,DPDP/sector,planned,required
South Korea,PIPA,planned,required
Switzerland,FADP,planned,required
China,PIPL/data/cyber/export review,restricted review,required
