requirement	STATUS	PHASE_3_RESULT	EVIDENCE	RESIDUAL_RISK	PHASE_4_ACCEPTANCE
authentication (login, session)	IMPLEMENTED	verified live	probe container: password alone returns mfaRequired; session cookie HttpOnly SameSite=Strict Max-Age=28800	none	full session lifecycle under load
first-owner bootstrap	IMPLEMENTED (repaired in phase 3)	NOESAR_SETUP_TOKEN_FILE was declared but never read by any code; implemented in src/setup-token.mjs	11 tests; live: file 0600 owner 10001:10001, fingerprint matches startup log, only the PATH is in the container env, wrong/absent token refused and audited, second setup refused on the probe	token TTL is 72h by default; an operator who waits longer gets a rotated token	replay and expiry against the real installation
MFA / TOTP	IMPLEMENTED (hardened in phase 4)	replay was possible and is now refused	phase 4 F4-002: a code that completed a login authenticated a second session; single-use enforcement added per RFC 6238 section 5.2 and verified by AUTH-19 plus 8 unit tests	no rate limit on MFA attempts beyond the shared 8-per-15-minutes login limiter	CLOSED - replayed code rejected
passkey / WebAuthn	IMPLEMENTED (D-0295, 2026-08-03, superseding this row)	hand-rolled CBOR/COSE on node:crypto, zero npm deps, attestation none, ES256 only	1553/1554 unit, 13/13 live isolated checks incl. signature-counter replay rejection; deployed live, container noesar-evolution:passkey-webauthn-dos-fix	a pre-auth DoS in the CBOR decoder was found and fixed same thread (D-0296, 656ms->252ms), verified live	alternative 2nd factor to TOTP, not a replacement; see docs/DECISION_LOG.md D-0295/D-0296
RBAC / roles	IMPLEMENTED	owner gate added for every new observability route	requireOwner() on debug, logs, watchdog, updates, diagnostics; 401 for anonymous verified live on 5 routes	non-owner vs owner separation not exercised live (only one account existed)	non-owner denied owner-only endpoints (403)
brute-force protection	IMPLEMENTED	unchanged	delivered loginAttempts map, per ip+username, 15-min window	not exercised live	N failed logins trigger lockout
session handling	IMPLEMENTED	unchanged	tests/auth.test.mjs	NOESAR_SECURE_COOKIES=false because there is no TLS and nothing is published	logout invalidates session
private network by default	IMPLEMENTED (repaired in phase 3)	two delivered installers published on 0.0.0.0; fixed to a configurable loopback default	live: 127.0.0.1:8100 answers, 192.168.178.100:8100 refused; tools/test-installer-hardening.mjs asserts it	none while loopback-only	port not reachable from LAN
TLS for remote access	NOT_APPLICABLE (phase 3)	not published remotely	-	if ever published: TLS at a proxy AND NOESAR_SECURE_COOKIES=true	out of scope until published
allowed hosts / Host header	IMPLEMENTED	verified live	raw request with Host: evil.example returns 421	none	foreign Host rejected
